Country,Date,Local price,Dollar ex,Dollar price,Dollar PPP,Dollar valuation
Argentina,1/1/16,33,13.80925,2.389702554,6.693711968,-51.52733155
Argentina,7/1/15,28,9.135,3.0651341,5.845511482,-36.00972652
Argentina,1/1/15,28,8.61,3.25203252,5.845511482,-32.10788058
Argentina,7/1/14,21,8.16875,2.570772762,4.379562044,-46.38638661
Argentina,1/1/14,21,6.92125,3.034134008,4.541358803,-34.38528007
Argentina,7/1/13,21,5.4125,3.879907621,4.608632041,-14.85206391
Argentina,1/1/13,19,4.9765,3.817944338,4.350418585,-12.58075787
Argentina,7/1/12,19,4.56625,4.160963592,4.390525708,-3.848328329
Argentina,1/1/12,20,4.3135,4.636606004,4.765058777,10.46850068
Argentina,7/1/11,20,4.1325,4.83968542,4.9200492,19.05745192
Argentina,7/1/10,14,3.93375,3.558945027,3.75,-4.671115348
Argentina,1/1/10,7,3.7985,1.842832697,1.955307263,-48.52422634
Argentina,7/1/09,11.5,3.81125,3.017382748,3.221288515,-15.47947483
Argentina,6/1/08,11,3.0195,3.64298725,3.081232493,2.044460772
Argentina,6/1/07,8.25,3.0915,2.668607472,2.419354839,-21.74171636
Argentina,1/1/07,8.25,3.08875,2.670983408,2.562111801,-17.05020474
Argentina,5/1/06,7,3.0565,2.290201211,2.258064516,-26.1225416
Argentina,1/1/06,4.75,3.0638,1.550362295,1.507936508,-50.78214936
Argentina,6/1/05,4.75,2.897,1.639627201,1.552287582,-46.41741175
Argentina,5/1/04,4.36,2.95,1.48,1.503448276,-49.03565167
Argentina,4/1/03,4.1,2.88,1.4,1.512915129,-47.46822468
Argentina,4/1/02,2.5,3.13,0.78,1.004016064,-67.92280945
Argentina,4/1/01,2.5,1,2.5,0.984251969,-1.57480315
Argentina,4/1/00,2.5,1,2.5,0.996015936,-0.398406375
Australia,1/1/16,5.3,1.415728746,3.743655,1.07505071,-24.0637931
Australia,7/1/15,5.3,1.35126005,3.922265,1.106471816,-18.11555324
